group,item,part_number,supplier,qty,unit_eur,in_total,notes
Actuation,Dynamixel servo,XC330-M181-T,Robotis / mybotshop.de,8,130.00,yes,"Two per long finger; antagonist pair on one spool"
Actuation,U2D2 interface set,U2D2 SET,Robotis / mybotshop.de,0,103.95,no,"Not required: the Teensy owns the bus through the 74HC241. Development and diagnostics only; must be disconnected before the firmware will take the bus"
Joint sensing,AS5600 magnetic encoder IC,AS5600-ASOM / LCSC C79815,AMS / JLCPCB,12,,yes,"One per instrumented joint; placed as part of the JLCPCB assembly order"
Joint sensing,Diametric magnet N35 6x2.5 mm,,generic,12,2.20,yes,"One per encoder, on the rotating side of each joint"
Joint sensing,Capacitor 100nF 0805,LCSC C49678,JLCPCB,24,,yes,"Two per encoder board"
Motion sensing,BNO085 IMU breakout,,generic / Amazon.de,3,22.19,yes,"Dorsal hand 0x4A Wire1; forearm 0x4B Wire2; thumb tip 0x4B Wire1"
Effort sensing,Surface EMG sensor with envelope output,MyoWare,generic,1,,yes,"Teensy pin 14 (A0). Optional: firmware reports EMG absent and runs without it"
Control,Teensy 4.1,TEENSY41,PJRC,1,31.20,yes,"600 MHz; owns the motor bus and runs the control law; built-in SDIO socket is the capture target"
Control,Octal buffer / line driver,SN74HC241N,Texas Instruments / Reichelt,1,0.27,yes,"Half-duplex Dynamixel interface on Serial1, direction pin 7 HIGH = transmit. Not on the published Gerbers; wire separately"
Control,Round display 1.28 in 240x240,GC9A01A,generic / Amazon.de,1,12.50,yes,"SPI0, CS 10 / DC 9 / RST 8"
Control,microSD card,,generic,1,,yes,"Teensy 4.1 built-in SDIO socket; one row per frame"
Control,Potentiometer (the crown),,generic,1,,yes,"Pin 27 (A13); presence-checked"
Control,Tactile button,,generic,1,,yes,"Pin 5"
Control,Piezo buzzer,,generic,1,,yes,"Pin 2"
Control,Motor supply and wiring,,,1,,yes,"Sized for eight XC330 servos; keep actuator power independently removable"
Custom PCB,Encoder board (AS5600),electronics/encoder_board,JLCPCB,12,,yes,"One per joint; KiCad source plus Gerbers, placement and BOM in the repo"
Custom PCB,Palm carrier / multiplexer board,Zero_Palm_V1,JLCPCB,1,,yes,"Erratum: U2 channels 8-13 have SDA/SCL net labels transposed; swap the two signal wires relative to the label"
Custom PCB,TCA9548A I2C multiplexer,LCSC C130026,JLCPCB,2,,yes,"0x70 for channels 0-7; 0x71 for channels 8-13"
Custom PCB,Palm carrier passives,"LCSC C15850, C49678, C17673, C17414",JLCPCB,1,,yes,"1x 10uF, 2x 100nF, 2x 4.7k, 2x 10k; full list in the board manufacturing BOM"
Transmission,Braided UHMWPE tendon 0.30 mm,J-Braid X8,Daiwa,1,17.50,yes,"Antagonist cable pair on one 5 mm spool per joint"
Transmission,PTFE conduit,,generic,,,yes,"Length depends on the forearm-to-hand run"
Transmission,Elastic tendon element,,generic,8,,yes,"Makes the actuation series-elastic; simple implementation, not an advanced SEA design"
Mechanical,Fasteners and pins,,generic,,,yes,"Not enumerated in this release; select and verify against the STEP files"
Printed parts,PETG filament,,generic,1,20.00,yes,"Structural parts; 1 kg"
Printed parts,PLA filament,,generic,1,,yes,"The as-built prototype mixes PETG and PLA; 1 kg"
Printed parts,TPU filament,,generic,1,30.00,yes,"Compliant skin-interface parts; 1 kg"
